Filename, Date modified, File type
"/collections/researchcommons/rc_calendar.html", 2011 Apr 1, HTML
"/collections/videoone.jpg", 2007 Oct 30, JPG
"/collections/howtoaudio.html", 2009 Feb 5, HTML
"/collections/2.jpg", 2008 Aug 1, JPG
"/collections/3.jpg", 2008 Aug 1, JPG
"/collections/4.jpg", 2008 Aug 1, JPG
"/common/classes.php", 2007 May 24, PHP
"/common/common.php", 2008 Oct 14, PHP
"/common/error.php", 2011 Jan 20, PHP
"/common/news.php", 2007 Jul 20, PHP
"/common/rss_search.php", 2008 Oct 14, PHP
"/common/transform.php", 2010 Sep 1, PHP
"/common/video.php", 2007 Jul 20, PHP
"/common/essay_search.php", 2007 Aug 29, PHP
"/common/common.bak", 2007 Jun 7, BAK
"/common/delicious_news.php", 2007 Sep 24, PHP
"/common/refworks.php", 2007 Sep 27, PHP
"/common/delicious.php", 2007 Sep 27, PHP
"/common/refworks_taglist.php", 2007 Sep 24, PHP
"/common/refworks_title.php", 2007 Sep 24, PHP
"/common/delicious_taglist.php", 2007 Oct 8, PHP
"/common/library.xsl", 2007 Oct 22, XSL
"/common/solr-essays.xsl", 2007 Oct 22, XSL
"/common/solr-test.php", 2007 Oct 22, PHP
"/common/errors/error.php", 2011 Jan 20, PHP
"/common/solr-test.xml", 2007 Oct 22, XML
"/common/test.php", 2008 Jul 3, PHP
"/common/rss_category.php", 2008 Jul 1, PHP
"/common/faq_category.php", 2008 Jul 10, PHP
"/common/retrieve_file_contents.php", 2009 Oct 5, PHP
"/common/retrieve_file_contents_as_json.php", 2009 Dec 17, PHP
"/copyright/css/style.css", 2007 Dec 19, CSS
"/copyright/css/newstyle.css", 2007 Nov 21, CSS
"/copyright/css/printable.css", 2007 Nov 28, CSS
"/copyright/images/background_top.jpg", 2007 Nov 19, JPG
"/copyright/images/banner.jpg", 2007 Oct 10, JPG
"/copyright/images/left_arch_photo.jpg", 2007 Oct 10, JPG
"/copyright/images/intro_illustrate1.jpg", 2007 Oct 10, JPG
"/copyright/images/headerbg.jpg", 2007 Oct 10, JPG
"/copyright/images/copyright_handbook_banner.jpg", 2007 Oct 10, JPG
"/copyright/images/nyu_libraries_banner.jpg", 2007 Oct 10, JPG
"/copyright/images/cancelbutton.jpg", 2007 Oct 10, JPG
"/copyright/images/copyright_services_banner.jpg", 2007 Oct 10, JPG
"/copyright/images/headline.jpg", 2007 Oct 10, JPG
"/copyright/images/submitbutton.jpg", 2007 Oct 10, JPG
"/copyright/images/left_pile.jpg", 2007 Oct 10, JPG
"/copyright/images/background_top2.jpg", 2007 Nov 19, JPG
"/copyright/images/welcome.jpg", 2007 Oct 10, JPG
"/copyright/images/close.gif", 2007 Nov 21, GIF
"/copyright/images/fade.gif", 2007 Nov 21, GIF
"/copyright/includes/leftnav.html", 2007 Nov 28, HTML
"/copyright/includes/footer.html", 2007 Nov 28, HTML
"/copyright/includes/header.html", 2008 Sep 5, HTML
"/copyright/copyrightbasics.html", 2007 Dec 3, HTML
"/copyright/index.html", 2007 Nov 29, HTML
"/copyright/faq.html", 2009 Apr 20, HTML
"/copyright/permission_sample_letters/permissionConference.pdf", 2007 Oct 3, PDF
"/copyright/permission_sample_letters/permissionClassroom.pdf", 2007 Oct 3, PDF
"/copyright/permission_sample_letters/permissionPublication.pdf", 2007 Oct 3, PDF
"/copyright/educational.html", 2007 Nov 29, HTML
"/copyright/fairuse.html", 2007 Nov 29, HTML
"/copyright/licensed.html", 2007 Nov 29, HTML
"/copyright/publicdomain.html", 2007 Nov 29, HTML
"/copyright/teaching.html", 2007 Dec 19, HTML
"/copyright/options.html", 2007 Dec 19, HTML
"/copyright/permission.html", 2007 Nov 29, HTML
"/copyright/development/css/newstyle.css", 2007 Nov 21, CSS
"/copyright/development/includes/leftnav.html", 2007 Nov 20, HTML
"/copyright/development/includes/footer.html", 2007 Nov 20, HTML
"/copyright/development/includes/header.html", 2007 Nov 20, HTML
"/copyright/development/grid.html", 2007 Nov 21, HTML
"/copyright/development/index.html", 2007 Nov 20, HTML
"/copyright/testcss.html", 2007 Oct 10, HTML
"/copyright/toolsfairusebeyondnyu.html.html", 2007 Dec 19, HTML
"/copyright/toolsfairusenyu.html", 2007 Dec 4, HTML
"/copyright/index-p.html", 2010 Apr 1, HTML
"/copyright/tools.html", 2007 Dec 4, HTML
"/data/video/common/control.swf", 2007 Jun 5, SWF
"/data/video/grabit.flv", 2010 Apr 1, FLV
"/data/video/refgrabit.swf", 2007 May 8, SWF
"/data/video/book.flv", 2007 Jun 5, FLV
"/data/video/google.flv", 2007 May 17, FLV
"/data/video/google.swf", 2007 May 17, SWF
"/data/video/SteelExternalAll.swf", 2007 Jun 5, SWF
"/data/video/refgrabit2.swf", 2007 May 17, SWF
"/data/video/book.swf", 2007 Jun 5, SWF
"/data/rss/general/jobs.xml", 2007 Sep 25, XML
"/data/rss/help/faq-copyright.xml", 2010 Apr 1, XML
"/data/rss/help/faq-endnote.xml", 2007 Apr 24, XML
"/data/rss/help/faq-refworks.xml", 2007 Sep 12, XML
"/data/rss/help/faq-sfx.xml", 2007 Apr 24, XML
"/data/rss/research/classes.xml", 2009 Jun 2, XML
"/data/rss/research/tutorials/video.xml", 2007 Sep 12, XML
"/data/rss/research/subjects/literature/essays/anthology.xml", 2007 Aug 29, XML
"/data/rss/dirt.xml", 2009 Feb 13, XML
"/data/general/forms.xml", 2007 May 24, XML
"/data/general/subject_hierarchy.xml", 2010 Jun 28, XML
"/data/clancy/rept01/ak0304.txt", 2008 Mar 14, TXT
"/data/clancy/ossreq02.xsl", 2008 Feb 29, XSL
"/data/clancy/misc0801/met0805151.mp4", 2010 Apr 1, MP4
"/data/music/BoormanF03/1.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/10.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/11.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/12.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/13a.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/13b.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/13c.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/14.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/15.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/16.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/17.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/18.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/19.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/2.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/20.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/21.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/22.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/3.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/4.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/5.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/6.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/7a.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/7b.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/8.ram", 2007 Apr 24, RAM
"/data/music/BoormanF03/9.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Cole_Porter_Nobodys_chasing_me.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Freedom_Road_sung_by_Josh_White.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Giuseppe_Verdi_La_Forza_del_Destino_Overture.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Gyorgy_Ligeti_Atmospheres.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Karlheinz_Stockhausen_Piano_Piece_No_3.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Karlheinz_Stockhausen_Piano_Piece_No_8.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Kenneth_Goldsmith_73_Poems_No_13.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Kenneth_Goldsmith_73_Poems_No_41.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Kenneth_Goldsmith_73_Poems_No_7.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Kenneth_Goldsmith_73_Poems_No_8.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Leos_Janacek_String_Quartet_No_2_2nd_Movement.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Roybal_The_Emergence.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Steve_Reich_Nagoya_Marimbas.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/WA_Mozart_Symphony_No_40_in_G_major_1st_movement.ram", 2007 Apr 24, RAM
"/data/music/BoormanF04/Yannis_Xenakis_Metastasis.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Alfonso_el_Sabio.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Anonymous_Baralipton.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Anonymous_Cantu.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Anonymous_Kyrie_Rex.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Anonymous_Rossi.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Anonymous_Sia_Laudato.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Anonymous_Vetus_Abit.ram", 2007 Apr 24, RAM
"/data/music/BoormanF05/Arcadelt_Chiare_first_stanza_only.ram", 2007 Apr 24, RAM
